episode,steps,total_reward,success,key_found_step,door_attempts_without_key,door_opened_step,mean_loss,mean_td_error,mean_q_value,mean_mood_value,mean_mood_action,mean_overall_mood,exploration_boosts,mean_mood_bias,epsilon,effective_epsilon,success_rate_100
44,58,8.4800,1,41,1,51,0.333242,-0.021483,6.592083,0.000000,0.000000,0.000000,0,0.000000,0.7333,0.7333,0.7556
45,200,-11.1000,0,178,3,186,0.157794,-0.006967,6.515244,0.000000,0.000000,0.000000,0,0.000000,0.7238,0.7238,0.7391
46,200,-12.7000,0,-1,5,-1,0.213641,-0.008433,6.475558,0.000000,0.000000,0.000000,0,0.000000,0.7143,0.7143,0.7234
47,200,-9.5000,0,55,2,99,0.555418,0.021797,7.609069,0.000000,0.000000,0.000000,0,0.000000,0.7048,0.7048,0.7083
48,147,2.8200,1,100,1,141,0.283393,-0.006855,7.754440,0.000000,0.000000,0.000000,0,0.000000,0.6979,0.6979,0.7143
49,200,-9.3000,0,86,3,109,0.253807,-0.008777,7.802938,0.000000,0.000000,0.000000,0,0.000000,0.6884,0.6884,0.7000
50,200,-14.3000,0,-1,4,-1,0.154989,-0.008236,7.794114,0.000000,0.000000,0.000000,0,0.000000,0.6789,0.6789,0.6863
51,200,-9.7000,0,130,2,149,0.287962,-0.013665,7.828621,0.000000,0.000000,0.000000,0,0.000000,0.6694,0.6694,0.6731
52,75,8.7000,1,19,0,25,0.284593,0.011293,7.800463,0.000000,0.000000,0.000000,0,0.000000,0.6658,0.6658,0.6792
53,152,2.9200,1,70,0,77,0.490670,0.001293,8.071601,0.000000,0.000000,0.000000,0,0.000000,0.6586,0.6586,0.6852
54,38,10.8800,1,29,0,36,0.667064,-0.028212,8.074675,0.000000,0.000000,0.000000,0,0.000000,0.6568,0.6568,0.6909
55,17,12.0200,1,11,0,16,0.163665,0.022424,7.999995,0.000000,0.000000,0.000000,0,0.000000,0.6560,0.6560,0.6964
56,200,-14.0000,0,-1,5,-1,0.297223,-0.007965,8.001530,0.000000,0.000000,0.000000,0,0.000000,0.6465,0.6465,0.6842
