stage,checkpoint_episode,rollout_id,step,row,col,action,reward,cumulative_reward,has_shield,event
early,50,2,29,1,1,DOWN,-1.5,-35.5,True,
early,50,2,30,2,1,UP,-1.5,-37.0,True,
early,50,2,31,1,1,DOWN,-1.5,-38.5,True,
early,50,2,32,2,1,UP,-1.5,-40.0,True,
early,50,2,33,1,1,DOWN,-1.5,-41.5,True,
early,50,2,34,2,1,UP,-1.5,-43.0,True,
early,50,2,35,1,1,DOWN,-1.5,-44.5,True,
early,50,2,36,2,1,UP,-1.5,-46.0,True,
early,50,2,37,1,1,DOWN,-1.5,-47.5,True,
early,50,2,38,2,1,UP,-1.5,-49.0,True,
early,50,2,39,1,1,DOWN,-1.5,-50.5,True,
early,50,2,40,2,1,UP,-51.5,-102.0,True,timeout
early,50,3,1,1,1,DOWN,4.5,4.5,False,shield_pickup
early,50,3,2,2,1,UP,-0.5,4.0,True,
early,50,3,3,1,1,DOWN,-0.5,3.5,True,
early,50,3,4,2,1,UP,-1.5,2.0,True,
early,50,3,5,1,1,DOWN,-1.5,0.5,True,
early,50,3,6,2,1,UP,-1.5,-1.0,True,
early,50,3,7,1,1,DOWN,-1.5,-2.5,True,
early,50,3,8,2,1,UP,-1.5,-4.0,True,
early,50,3,9,1,1,DOWN,-1.5,-5.5,True,
early,50,3,10,2,1,UP,-1.5,-7.0,True,
early,50,3,11,1,1,DOWN,-1.5,-8.5,True,
early,50,3,12,2,1,UP,-1.5,-10.0,True,
early,50,3,13,1,1,DOWN,-1.5,-11.5,True,
early,50,3,14,2,1,UP,-1.5,-13.0,True,
early,50,3,15,1,1,DOWN,-1.5,-14.5,True,
early,50,3,16,2,1,UP,-1.5,-16.0,True,
early,50,3,17,1,1,DOWN,-1.5,-17.5,True,
early,50,3,18,2,1,UP,-1.5,-19.0,True,
early,50,3,19,1,1,DOWN,-1.5,-20.5,True,
early,50,3,20,2,1,UP,-1.5,-22.0,True,
early,50,3,21,1,1,DOWN,-1.5,-23.5,True,
early,50,3,22,2,1,UP,-1.5,-25.0,True,
early,50,3,23,1,1,DOWN,-1.5,-26.5,True,
early,50,3,24,2,1,UP,-1.5,-28.0,True,
early,50,3,25,1,1,DOWN,-1.5,-29.5,True,
early,50,3,26,2,1,UP,-1.5,-31.0,True,
early,50,3,27,1,1,DOWN,-1.5,-32.5,True,
early,50,3,28,2,1,UP,-1.5,-34.0,True,
early,50,3,29,1,1,DOWN,-1.5,-35.5,True,
early,50,3,30,2,1,UP,-1.5,-37.0,True,
early,50,3,31,1,1,DOWN,-1.5,-38.5,True,
early,50,3,32,2,1,UP,-1.5,-40.0,True,
early,50,3,33,1,1,DOWN,-1.5,-41.5,True,
early,50,3,34,2,1,UP,-1.5,-43.0,True,
early,50,3,35,1,1,DOWN,-1.5,-44.5,True,
early,50,3,36,2,1,UP,-1.5,-46.0,True,
early,50,3,37,1,1,DOWN,-1.5,-47.5,True,
early,50,3,38,2,1,UP,-1.5,-49.0,True,
early,50,3,39,1,1,DOWN,-1.5,-50.5,True,
early,50,3,40,2,1,UP,-51.5,-102.0,True,timeout
early,50,4,1,1,1,DOWN,4.5,4.5,False,shield_pickup
early,50,4,2,2,1,UP,-0.5,4.0,True,
early,50,4,3,1,1,DOWN,-0.5,3.5,True,
early,50,4,4,2,1,UP,-1.5,2.0,True,
early,50,4,5,1,1,DOWN,-1.5,0.5,True,
early,50,4,6,2,1,UP,-1.5,-1.0,True,
early,50,4,7,1,1,DOWN,-1.5,-2.5,True,
early,50,4,8,2,1,UP,-1.5,-4.0,True,
early,50,4,9,1,1,DOWN,-1.5,-5.5,True,
early,50,4,10,2,1,UP,-1.5,-7.0,True,
early,50,4,11,1,1,DOWN,-1.5,-8.5,True,
early,50,4,12,2,1,UP,-1.5,-10.0,True,
early,50,4,13,1,1,DOWN,-1.5,-11.5,True,
early,50,4,14,2,1,UP,-1.5,-13.0,True,
early,50,4,15,1,1,DOWN,-1.5,-14.5,True,
early,50,4,16,2,1,UP,-1.5,-16.0,True,
early,50,4,17,1,1,DOWN,-1.5,-17.5,True,
early,50,4,18,2,1,UP,-1.5,-19.0,True,
early,50,4,19,1,1,DOWN,-1.5,-20.5,True,
early,50,4,20,2,1,UP,-1.5,-22.0,True,
early,50,4,21,1,1,DOWN,-1.5,-23.5,True,
early,50,4,22,2,1,UP,-1.5,-25.0,True,
early,50,4,23,1,1,DOWN,-1.5,-26.5,True,
early,50,4,24,2,1,UP,-1.5,-28.0,True,
early,50,4,25,1,1,DOWN,-1.5,-29.5,True,
early,50,4,26,2,1,UP,-1.5,-31.0,True,
early,50,4,27,1,1,DOWN,-1.5,-32.5,True,
early,50,4,28,2,1,UP,-1.5,-34.0,True,
early,50,4,29,1,1,DOWN,-1.5,-35.5,True,
early,50,4,30,2,1,UP,-1.5,-37.0,True,
early,50,4,31,1,1,DOWN,-1.5,-38.5,True,
early,50,4,32,2,1,UP,-1.5,-40.0,True,
early,50,4,33,1,1,DOWN,-1.5,-41.5,True,
early,50,4,34,2,1,UP,-1.5,-43.0,True,
early,50,4,35,1,1,DOWN,-1.5,-44.5,True,
early,50,4,36,2,1,UP,-1.5,-46.0,True,
early,50,4,37,1,1,DOWN,-1.5,-47.5,True,
early,50,4,38,2,1,UP,-1.5,-49.0,True,
early,50,4,39,1,1,DOWN,-1.5,-50.5,True,
early,50,4,40,2,1,UP,-51.5,-102.0,True,timeout
early,50,5,1,1,1,DOWN,4.5,4.5,False,shield_pickup
early,50,5,2,2,1,UP,-0.5,4.0,True,
early,50,5,3,1,1,DOWN,-0.5,3.5,True,
early,50,5,4,2,1,UP,-1.5,2.0,True,
early,50,5,5,1,1,DOWN,-1.5,0.5,True,
early,50,5,6,2,1,UP,-1.5,-1.0,True,
early,50,5,7,1,1,DOWN,-1.5,-2.5,True,
early,50,5,8,2,1,UP,-1.5,-4.0,True,
early,50,5,9,1,1,DOWN,-1.5,-5.5,True,
early,50,5,10,2,1,UP,-1.5,-7.0,True,
early,50,5,11,1,1,DOWN,-1.5,-8.5,True,
early,50,5,12,2,1,UP,-1.5,-10.0,True,
