stage,checkpoint_episode,path_type,count,mean_reward,std_reward,mean_steps,std_steps,success_rate
early,50,timeout,15,-102.0,0.0,40.0,0.0,0.0
late,200,timeout,15,-102.0,0.0,40.0,0.0,0.0
mid,100,timeout,15,-102.0,0.0,40.0,0.0,0.0
