episode,steps,total_reward,success,key_found_step,door_attempts_without_key,door_opened_step,mean_loss,mean_td_error,mean_q_value,mean_mood_value,mean_mood_action,mean_overall_mood,exploration_boosts,mean_mood_bias,epsilon,effective_epsilon,success_rate_100
0,23,-26.3000,1,-1,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,1.0000,0.0000,1.0000
1,25,-14.5000,1,-1,0,-1,3.179599,-0.563659,-0.194631,0.000000,0.000000,-0.468836,0,0.000000,0.9987,0.0000,1.0000
2,44,-16.4000,1,-1,0,-1,2.244396,-0.014126,-0.618633,0.000000,0.000000,-0.035175,0,0.000000,0.9975,0.0000,1.0000
3,25,-14.5000,1,-1,0,-1,2.117714,0.027537,-0.634520,0.000000,0.000000,-0.001233,0,0.000000,0.9962,0.0000,1.0000
4,18,-7.8000,1,-1,0,-1,1.721217,0.014589,-0.495402,0.000000,0.000000,0.008093,0,0.000000,0.9949,0.0000,1.0000
5,72,-37.2000,1,-1,0,-1,1.851599,-0.020126,-0.499692,0.000000,0.000000,-0.018760,0,0.000000,0.9937,0.0000,1.0000
6,68,-12.8000,1,-1,0,-1,1.729642,-0.009145,-0.473353,0.000000,0.000000,-0.003162,0,0.000000,0.9924,0.0000,1.0000
7,100,-10.0000,0,-1,0,-1,1.346095,0.001379,-0.386723,0.000000,0.000000,0.002636,0,0.000000,0.9911,0.0000,0.8750
8,100,-8.0000,0,-1,0,-1,0.954723,-0.006660,-0.288042,0.000000,0.000000,-0.010790,0,0.000000,0.9899,0.0000,0.7778
9,100,-8.0000,0,-1,0,-1,0.601247,0.007475,-0.230958,0.000000,0.000000,0.007728,0,0.000000,0.9886,0.0000,0.7000
10,100,-34.0000,0,-1,0,-1,0.267104,0.002283,-0.255879,0.000000,0.000000,0.001427,0,0.000000,0.9873,0.0000,0.6364
11,100,-8.0000,0,-1,0,-1,0.331601,-0.001242,-0.253123,0.000000,0.000000,-0.002864,0,0.000000,0.9860,0.0000,0.5833
12,27,-14.7000,1,-1,0,-1,0.220308,-0.010672,-0.271923,0.000000,0.000000,0.003730,0,0.000000,0.9848,0.0000,0.6154
13,53,-29.3000,1,-1,0,-1,0.197565,0.007554,-0.250493,0.000000,0.000000,-0.001772,0,0.000000,0.9835,0.0000,0.6429
14,100,-8.0000,0,-1,0,-1,0.212316,-0.006218,-0.253902,0.000000,0.000000,-0.002175,0,0.000000,0.9822,0.0000,0.6000
15,100,-14.0000,0,-1,0,-1,0.059503,0.000346,-0.225408,0.000000,0.000000,-0.001113,0,0.000000,0.9810,0.0000,0.5625
