episode,steps,total_reward,success,key_found_step,door_attempts_without_key,door_opened_step,mean_loss,mean_td_error,mean_q_value,mean_mood_value,mean_mood_action,mean_overall_mood,exploration_boosts,mean_mood_bias,epsilon,effective_epsilon,success_rate_100
0,23,-121.8200,1,-1,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,1.0000,0.0000,1.0000
1,25,-62.3000,1,-1,0,-1,100.719622,0.000000,-0.187927,0.000000,0.000000,0.000000,0,0.000000,0.9990,0.0000,1.0000
2,44,-64.1600,1,-1,0,-1,72.279380,0.000000,-2.379450,0.000000,0.000000,0.000000,0,0.000000,0.9981,0.0000,1.0000
3,25,-61.9000,1,-1,0,-1,65.387688,0.000000,-2.653956,0.000000,0.000000,0.000000,0,0.000000,0.9971,0.0000,1.0000
4,18,-31.5200,1,-1,0,-1,53.906938,0.000000,-2.731499,0.000000,0.000000,0.000000,0,0.000000,0.9962,0.0000,1.0000
5,72,-156.2800,1,-1,0,-1,57.171350,0.000000,-2.139015,0.000000,0.000000,0.000000,0,0.000000,0.9952,0.0000,1.0000
6,68,-35.9200,1,-1,0,-1,53.323275,0.000000,-2.125567,0.000000,0.000000,0.000000,0,0.000000,0.9943,0.0000,1.0000
7,100,-8.9000,0,-1,0,-1,41.659851,0.000000,-1.535655,0.000000,0.000000,0.000000,0,0.000000,0.9933,0.0000,0.8750
8,100,-6.5000,0,-1,0,-1,30.592202,0.000000,-0.997619,0.000000,0.000000,0.000000,0,0.000000,0.9924,0.0000,0.7778
9,57,-34.7800,1,-1,0,-1,23.700806,0.000000,-0.833952,0.000000,0.000000,0.000000,0,0.000000,0.9914,0.0000,0.8000
10,100,-38.8000,0,-1,0,-1,21.108739,0.000000,-0.654942,0.000000,0.000000,0.000000,0,0.000000,0.9905,0.0000,0.7273
11,100,-65.9000,0,-1,0,-1,25.927717,0.000000,-0.850379,0.000000,0.000000,0.000000,0,0.000000,0.9895,0.0000,0.6667
12,69,-38.0600,1,-1,0,-1,21.617096,0.000000,-0.861911,0.000000,0.000000,0.000000,0,0.000000,0.9886,0.0000,0.6923
13,40,-64.2000,1,-1,0,-1,11.855473,0.000000,-0.713822,0.000000,0.000000,0.000000,0,0.000000,0.9876,0.0000,0.7143
14,100,-5.5000,0,-1,0,-1,11.016855,0.000000,-0.921291,0.000000,0.000000,0.000000,0,0.000000,0.9867,0.0000,0.6667
15,22,-32.0800,1,-1,0,-1,8.315217,0.000000,-1.061554,0.000000,0.000000,0.000000,0,0.000000,0.9857,0.0000,0.6875
16,100,-5.4000,0,-1,0,-1,4.588059,0.000000,-0.583778,0.000000,0.000000,0.000000,0,0.000000,0.9848,0.0000,0.6471
17,40,-33.2000,1,-1,0,-1,4.115897,0.000000,-0.398737,0.000000,0.000000,0.000000,0,0.000000,0.9838,0.0000,0.6667
18,100,-70.8000,0,-1,0,-1,2.347289,0.000000,-0.517949,0.000000,0.000000,0.000000,0,0.000000,0.9829,0.0000,0.6316
19,24,-32.1600,1,-1,0,-1,4.116246,0.000000,-0.495176,0.000000,0.000000,0.000000,0,0.000000,0.9819,0.0000,0.6500
20,100,-7.1000,0,-1,0,-1,1.874505,0.000000,-0.387374,0.000000,0.000000,0.000000,0,0.000000,0.9810,0.0000,0.6190
21,100,-7.1000,0,-1,0,-1,1.801273,0.000000,-0.451407,0.000000,0.000000,0.000000,0,0.000000,0.9800,0.0000,0.5909
22,17,-31.5800,1,-1,0,-1,1.481818,0.000000,-0.550187,0.000000,0.000000,0.000000,0,0.000000,0.9791,0.0000,0.6087
23,100,-7.0000,0,-1,0,-1,1.180394,0.000000,-0.450609,0.000000,0.000000,0.000000,0,0.000000,0.9781,0.0000,0.5833
24,100,-6.6000,0,-1,0,-1,0.657004,0.000000,-0.369814,0.000000,0.000000,0.000000,0,0.000000,0.9772,0.0000,0.5600
25,70,-8.6000,1,-1,0,-1,1.178804,0.000000,-0.456102,0.000000,0.000000,0.000000,0,0.000000,0.9762,0.0000,0.5769
26,78,-9.5200,1,-1,0,-1,1.078675,0.000000,-0.429380,0.000000,0.000000,0.000000,0,0.000000,0.9753,0.0000,0.5926
27,100,-8.9000,0,-1,0,-1,1.226931,0.000000,-0.332332,0.000000,0.000000,0.000000,0,0.000000,0.9743,0.0000,0.5714
28,69,-36.0600,1,-1,0,-1,0.907417,0.000000,-0.282257,0.000000,0.000000,0.000000,0,0.000000,0.9734,0.0000,0.5862
29,100,-5.7000,0,-1,0,-1,0.823410,0.000000,-0.365189,0.000000,0.000000,0.000000,0,0.000000,0.9724,0.0000,0.5667
30,100,-6.6000,0,-1,0,-1,1.769230,0.000000,-0.250054,0.000000,0.000000,0.000000,0,0.000000,0.9715,0.0000,0.5484
31,100,-71.5000,0,-1,0,-1,0.997982,0.000000,-0.213555,0.000000,0.000000,0.000000,0,0.000000,0.9705,0.0000,0.5312
32,100,-9.9000,0,-1,0,-1,1.254995,0.000000,-0.198620,0.000000,0.000000,0.000000,0,0.000000,0.9696,0.0000,0.5152
33,100,-161.6000,0,-1,0,-1,0.989545,0.000000,-0.265420,0.000000,0.000000,0.000000,0,0.000000,0.9686,0.0000,0.5000
34,49,-64.4600,1,-1,0,-1,3.101092,0.000000,-0.389939,0.000000,0.000000,0.000000,0,0.000000,0.9677,0.0000,0.5143
35,91,-159.5400,1,-1,0,-1,1.230435,0.000000,-0.171989,0.000000,0.000000,0.000000,0,0.000000,0.9667,0.0000,0.5278
36,100,-6.2000,0,-1,0,-1,2.514134,0.000000,-0.383368,0.000000,0.000000,0.000000,0,0.000000,0.9658,0.0000,0.5135
37,100,-6.9000,0,-1,0,-1,2.856884,0.000000,-0.368902,0.000000,0.000000,0.000000,0,0.000000,0.9648,0.0000,0.5000
38,100,-7.6000,0,-1,0,-1,2.129907,0.000000,-0.374144,0.000000,0.000000,0.000000,0,0.000000,0.9639,0.0000,0.4872
39,100,-36.2000,0,-1,0,-1,1.067203,0.000000,-0.240284,0.000000,0.000000,0.000000,0,0.000000,0.9629,0.0000,0.4750
40,100,-7.0000,0,-1,0,-1,1.362704,0.000000,-0.163027,0.000000,0.000000,0.000000,0,0.000000,0.9620,0.0000,0.4634
41,51,-34.5400,1,-1,0,-1,0.821129,0.000000,-0.268474,0.000000,0.000000,0.000000,0,0.000000,0.9610,0.0000,0.4762
42,100,-6.1000,0,-1,0,-1,1.573242,0.000000,-0.189519,0.000000,0.000000,0.000000,0,0.000000,0.9601,0.0000,0.4651
43,80,-9.2000,1,-1,0,-1,1.058173,0.000000,-0.219849,0.000000,0.000000,0.000000,0,0.000000,0.9591,0.0000,0.4773
44,26,-32.0400,1,-1,0,-1,0.772746,0.000000,0.045533,0.000000,0.000000,0.000000,0,0.000000,0.9582,0.0000,0.4889
45,100,-39.7000,0,-1,0,-1,1.818857,0.000000,-0.205769,0.000000,0.000000,0.000000,0,0.000000,0.9572,0.0000,0.4783
46,100,-6.5000,0,-1,0,-1,1.014725,0.000000,-0.223158,0.000000,0.000000,0.000000,0,0.000000,0.9563,0.0000,0.4681
47,100,-6.3000,0,-1,0,-1,0.617220,0.000000,-0.078904,0.000000,0.000000,0.000000,0,0.000000,0.9553,0.0000,0.4583
