episode,steps,total_reward,success,key_found_step,door_attempts_without_key,door_opened_step,shield_pickup_step,trap_hit_step,path_type,wall_bumps,mean_loss,mean_td_error,mean_q_value,mean_mood_value,mean_mood_action,mean_overall_mood,exploration_boosts,mean_mood_bias,epsilon,effective_epsilon,success_rate_100
35,28,-42.8000,1,-1,0,-1,-1,16,trap_rush,0,4.386486,-0.072050,-0.441805,0.000000,0.000000,0.000000,0,0.000000,0.9556,0.0000,0.6389
36,100,-8.0000,0,-1,0,-1,12,-1,timeout,0,3.488124,0.044717,-0.410441,0.000000,0.000000,0.000000,0,0.000000,0.9543,0.0000,0.6216
37,30,-13.0000,1,-1,0,-1,-1,26,trap_rush,0,3.297855,-0.069327,-0.365195,0.000000,0.000000,0.000000,0,0.000000,0.9531,0.0000,0.6316
38,100,-28.0000,0,-1,0,-1,24,6,timeout,0,4.310427,-0.034516,-0.446192,0.000000,0.000000,0.000000,0,0.000000,0.9518,0.0000,0.6154
39,20,-2.0000,1,-1,0,-1,-1,18,trap_rush,0,3.461459,0.019531,-0.390587,0.000000,0.000000,0.000000,0,0.000000,0.9505,0.0000,0.6250
40,10,-11.0000,1,-1,0,-1,-1,6,trap_rush,0,3.288484,0.126516,-0.413164,0.000000,0.000000,0.000000,0,0.000000,0.9493,0.0000,0.6341
41,100,-29.0000,0,-1,0,-1,4,82,timeout,0,3.437384,0.021552,-0.390404,0.000000,0.000000,0.000000,0,0.000000,0.9480,0.0000,0.6190
42,22,-32.2000,1,-1,0,-1,-1,14,trap_rush,0,3.968118,-0.035577,-0.348249,0.000000,0.000000,0.000000,0,0.000000,0.9467,0.0000,0.6279
43,100,-109.0000,0,-1,0,-1,8,22,timeout,0,3.894787,-0.042699,-0.388666,0.000000,0.000000,0.000000,0,0.000000,0.9455,0.0000,0.6136
44,16,-1.6000,1,-1,0,-1,-1,14,trap_rush,0,4.620974,0.077730,-0.437169,0.000000,0.000000,0.000000,0,0.000000,0.9442,0.0000,0.6222
45,18,-11.8000,1,-1,0,-1,-1,14,trap_rush,0,3.726321,0.180051,-0.426107,0.000000,0.000000,0.000000,0,0.000000,0.9429,0.0000,0.6304
46,30,-13.0000,1,-1,0,-1,-1,26,trap_rush,0,4.247167,-0.006888,-0.364233,0.000000,0.000000,0.000000,0,0.000000,0.9417,0.0000,0.6383
47,100,-8.0000,0,-1,0,-1,6,-1,timeout,0,4.315723,0.002999,-0.360347,0.000000,0.000000,0.000000,0,0.000000,0.9404,0.0000,0.6250
48,14,-1.4000,1,-1,0,-1,-1,12,trap_rush,0,3.868733,-0.015100,-0.329170,0.000000,0.000000,0.000000,0,0.000000,0.9391,0.0000,0.6327
49,100,-18.0000,0,-1,0,-1,48,28,timeout,0,4.480442,-0.052779,-0.405866,0.000000,0.000000,0.000000,0,0.000000,0.9379,0.0000,0.6200
50,100,-8.0000,0,-1,0,-1,10,-1,timeout,0,4.367219,0.038667,-0.461612,0.000000,0.000000,0.000000,0,0.000000,0.9366,0.0000,0.6078
51,16,-11.6000,1,-1,0,-1,-1,12,trap_rush,0,4.787728,-0.174492,-0.365468,0.000000,0.000000,0.000000,0,0.000000,0.9353,0.0000,0.6154
52,44,6.6000,1,-1,0,-1,6,42,shield_route,0,4.577592,-0.059218,-0.483256,0.000000,0.000000,0.000000,0,0.000000,0.9340,0.0000,0.6226
53,100,-9.0000,0,-1,0,-1,30,58,timeout,0,4.272088,0.049650,-0.427198,0.000000,0.000000,0.000000,0,0.000000,0.9328,0.0000,0.6111
54,100,-8.0000,0,-1,0,-1,60,-1,timeout,0,4.188988,-0.021480,-0.380889,0.000000,0.000000,0.000000,0,0.000000,0.9315,0.0000,0.6000
55,16,-11.6000,1,-1,0,-1,-1,10,trap_rush,0,3.063894,0.021060,-0.379511,0.000000,0.000000,0.000000,0,0.000000,0.9302,0.0000,0.6071
56,58,-24.8000,1,-1,0,-1,8,48,shield_route,0,3.480010,0.001869,-0.380921,0.000000,0.000000,0.000000,0,0.000000,0.9290,0.0000,0.6140
57,100,-8.0000,0,-1,0,-1,4,-1,timeout,0,3.496466,-0.042971,-0.375044,0.000000,0.000000,0.000000,0,0.000000,0.9277,0.0000,0.6034
58,100,-9.0000,0,-1,0,-1,26,52,timeout,0,4.192949,-0.006163,-0.455539,0.000000,0.000000,0.000000,0,0.000000,0.9264,0.0000,0.5932
59,6,-0.6000,1,-1,0,-1,-1,4,trap_rush,0,6.004032,0.181028,-0.479797,0.000000,0.000000,0.000000,0,0.000000,0.9252,0.0000,0.6000
60,100,-8.0000,0,-1,0,-1,30,-1,timeout,0,3.429530,0.011488,-0.392912,0.000000,0.000000,0.000000,0,0.000000,0.9239,0.0000,0.5902
61,100,-19.0000,0,-1,0,-1,4,42,timeout,0,3.754319,0.044873,-0.418123,0.000000,0.000000,0.000000,0,0.000000,0.9226,0.0000,0.5806
62,100,-79.0000,0,-1,0,-1,30,14,timeout,0,3.105586,-0.022628,-0.327589,0.000000,0.000000,0.000000,0,0.000000,0.9214,0.0000,0.5714
63,100,-59.0000,0,-1,0,-1,10,38,timeout,0,3.545164,-0.026365,-0.381729,0.000000,0.000000,0.000000,0,0.000000,0.9201,0.0000,0.5625
64,100,-8.0000,0,-1,0,-1,14,-1,timeout,0,3.620361,-0.002344,-0.413864,0.000000,0.000000,0.000000,0,0.000000,0.9188,0.0000,0.5538
65,92,-8.2000,1,-1,0,-1,6,88,shield_route,0,3.083155,0.008262,-0.399473,0.000000,0.000000,0.000000,0,0.000000,0.9176,0.0000,0.5606
66,100,-9.0000,0,-1,0,-1,8,48,timeout,0,3.727280,-0.023718,-0.414598,0.000000,0.000000,0.000000,0,0.000000,0.9163,0.0000,0.5522
67,100,-8.0000,0,-1,0,-1,28,-1,timeout,0,3.357430,0.027377,-0.400926,0.000000,0.000000,0.000000,0,0.000000,0.9150,0.0000,0.5441
68,100,-69.0000,0,-1,0,-1,16,76,timeout,0,3.602997,-0.041302,-0.366096,0.000000,0.000000,0.000000,0,0.000000,0.9138,0.0000,0.5362
69,6,-0.6000,1,-1,0,-1,-1,4,trap_rush,0,2.466301,0.013229,-0.363751,0.000000,0.000000,0.000000,0,0.000000,0.9125,0.0000,0.5429
70,44,-64.4000,1,-1,0,-1,-1,18,trap_rush,0,3.226085,0.022169,-0.380127,0.000000,0.000000,0.000000,0,0.000000,0.9112,0.0000,0.5493
71,28,-92.8000,1,-1,0,-1,-1,4,trap_rush,0,3.102180,0.101492,-0.378925,0.000000,0.000000,0.000000,0,0.000000,0.9099,0.0000,0.5556
72,100,-8.0000,0,-1,0,-1,22,-1,timeout,0,3.260731,-0.043980,-0.397521,0.000000,0.000000,0.000000,0,0.000000,0.9087,0.0000,0.5479
73,54,-34.4000,1,-1,0,-1,26,4,other,0,3.396395,-0.002970,-0.386105,0.000000,0.000000,0.000000,0,0.000000,0.9074,0.0000,0.5541
74,100,-9.0000,0,-1,0,-1,12,58,timeout,0,3.323388,-0.029234,-0.370019,0.000000,0.000000,0.000000,0,0.000000,0.9061,0.0000,0.5467
75,50,-24.0000,1,-1,0,-1,10,26,shield_route,0,3.645698,-0.007982,-0.456424,0.000000,0.000000,0.000000,0,0.000000,0.9049,0.0000,0.5526
76,100,-68.0000,0,-1,0,-1,44,12,timeout,0,3.237082,-0.024590,-0.428415,0.000000,0.000000,0.000000,0,0.000000,0.9036,0.0000,0.5455
77,22,8.8000,1,-1,0,-1,10,20,shield_route,0,4.323176,-0.051074,-0.496978,0.000000,0.000000,0.000000,0,0.000000,0.9023,0.0000,0.5513
78,100,-19.0000,0,-1,0,-1,4,34,timeout,0,3.138176,0.020620,-0.495157,0.000000,0.000000,0.000000,0,0.000000,0.9011,0.0000,0.5443
79,100,-9.0000,0,-1,0,-1,6,44,timeout,0,3.152455,0.032366,-0.434076,0.000000,0.000000,0.000000,0,0.000000,0.8998,0.0000,0.5375
80,100,-18.0000,0,-1,0,-1,68,44,timeout,0,3.573376,-0.014965,-0.444639,0.000000,0.000000,0.000000,0,0.000000,0.8985,0.0000,0.5309
81,100,-8.0000,0,-1,0,-1,8,-1,timeout,0,3.435726,-0.025843,-0.435351,0.000000,0.000000,0.000000,0,0.000000,0.8973,0.0000,0.5244
82,54,-15.4000,1,-1,0,-1,-1,50,trap_rush,0,3.698520,-0.031939,-0.437863,0.000000,0.000000,0.000000,0,0.000000,0.8960,0.0000,0.5301
83,100,-9.0000,0,-1,0,-1,10,64,timeout,0,3.463627,-0.001673,-0.429017,0.000000,0.000000,0.000000,0,0.000000,0.8947,0.0000,0.5238
84,100,-8.0000,0,-1,0,-1,20,-1,timeout,0,3.753910,-0.014275,-0.461443,0.000000,0.000000,0.000000,0,0.000000,0.8935,0.0000,0.5176
