episode,steps,total_reward,success,key_found_step,door_attempts_without_key,door_opened_step,mean_loss,mean_td_error,mean_q_value,mean_mood_value,mean_mood_action,mean_overall_mood,exploration_boosts,mean_mood_bias,epsilon,effective_epsilon,success_rate_100
43,200,-12.3000,0,43,0,-1,0.360356,0.093130,6.954497,0.008762,-0.209401,-0.078503,347,-0.039252,0.7426,0.9500,0.8636
44,44,10.2400,1,17,0,41,0.244405,0.056351,6.953897,0.005736,-0.159411,-0.060323,391,-0.030161,0.7406,0.9500,0.8667
45,161,2.0600,1,60,1,98,0.149179,-0.025604,7.006353,-0.001568,-0.077513,-0.031946,531,-0.015973,0.7329,0.9053,0.8696
46,31,10.8600,1,17,0,29,0.101602,-0.074008,7.160870,-0.005483,-0.019026,-0.010900,539,-0.005450,0.7314,0.7014,0.8723
47,64,8.2400,1,28,1,58,0.090436,-0.033749,7.205835,-0.004140,0.009129,0.001167,540,0.000584,0.7284,0.7284,0.8750
48,69,8.1400,1,19,1,30,0.092659,-0.145991,7.269936,-0.011135,0.061794,0.018037,540,0.009018,0.7251,0.6951,0.8776
49,46,8.3600,1,34,4,45,0.076499,-0.111580,7.382894,-0.009856,0.095662,0.032351,540,0.016176,0.7229,0.6959,0.8800
50,167,1.6200,1,22,0,38,0.066769,-0.165513,7.422692,-0.014713,0.126775,0.041882,540,0.020941,0.7150,0.6850,0.8824
51,200,-9.6000,0,25,0,151,0.353213,0.145251,8.215062,0.012536,0.007088,0.010357,565,0.005178,0.7055,0.7055,0.8654
52,55,9.5000,1,12,0,40,0.169104,0.131335,8.579884,0.011689,0.007132,0.009866,565,0.004933,0.7029,0.7029,0.8679
53,200,-8.3000,0,21,0,27,0.134756,0.078753,8.514900,0.007860,0.033185,0.017990,565,0.008995,0.6934,0.6934,0.8519
54,200,-8.9000,0,13,0,53,0.119081,0.055391,8.537873,0.005301,0.078870,0.034729,565,0.017364,0.6839,0.6539,0.8364
55,200,-10.7000,0,31,0,51,0.088587,-0.044510,8.661465,-0.003652,0.091725,0.034499,565,0.017250,0.6744,0.6444,0.8214
56,42,10.3200,1,18,0,40,0.096226,-0.115284,8.667846,-0.006991,0.078194,0.027083,565,0.013542,0.6724,0.6424,0.8246
57,43,10.7800,1,18,0,42,0.082121,-0.093719,8.834528,-0.007774,0.100301,0.035456,565,0.017728,0.6704,0.6404,0.8276
58,200,-10.5000,0,35,0,40,0.133297,-0.049100,8.883439,-0.005471,0.107692,0.039794,565,0.019897,0.6609,0.6309,0.8136
59,200,-10.7000,0,4,0,38,0.090445,-0.095944,8.946541,-0.007917,0.121062,0.043675,565,0.021837,0.6514,0.6214,0.8000
60,69,8.3400,1,38,0,68,0.075714,-0.100950,8.961242,-0.009804,0.095704,0.032399,565,0.016200,0.6481,0.6181,0.8033
61,200,-9.7000,0,9,0,42,0.075420,-0.154584,8.993668,-0.015266,0.099265,0.030546,565,0.015273,0.6386,0.6086,0.7903
62,152,1.3200,1,27,3,52,0.069861,-0.198828,9.017700,-0.017969,0.054996,0.011217,565,0.005609,0.6314,0.6014,0.7937
63,103,5.9800,1,10,0,24,0.062911,-0.200736,9.169050,-0.018572,0.085658,0.023120,565,0.011560,0.6265,0.5965,0.7969
64,65,9.3000,1,15,0,64,0.063075,-0.262183,9.160971,-0.022628,0.047534,0.005437,565,0.002718,0.6234,0.5937,0.8000
65,11,12.4600,1,5,0,10,0.070781,-0.373915,8.997067,-0.017425,0.036244,0.004043,565,0.002021,0.6229,0.6229,0.8030
66,121,5.0600,1,4,0,30,0.106959,-0.227115,9.230962,-0.023066,0.058581,0.009593,565,0.004796,0.6171,0.5871,0.8060
67,61,9.4600,1,8,0,58,0.164878,-0.102318,9.439626,-0.008496,0.065860,0.021246,565,0.010623,0.6142,0.6142,0.8088
68,97,6.0200,1,7,0,95,0.120826,-0.103499,9.403846,-0.007917,0.052949,0.016429,565,0.008215,0.6096,0.5796,0.8116
69,47,10.2200,1,5,0,46,0.094612,-0.132548,9.431738,-0.012301,0.036255,0.007121,565,0.003561,0.6074,0.5774,0.8143
70,200,-8.6000,0,5,0,26,0.072761,-0.137045,9.474833,-0.013126,0.044358,0.009868,565,0.004934,0.5979,0.5679,0.8028
71,19,11.7400,1,8,0,16,0.074373,-0.246182,9.593678,-0.013292,0.041865,0.008771,565,0.004385,0.5970,0.5970,0.8056
72,200,-10.7000,0,6,0,18,0.063771,-0.158678,9.484242,-0.015437,0.014333,-0.003529,565,-0.001764,0.5875,0.5875,0.7945
73,164,2.6400,1,9,0,20,0.062006,-0.212012,9.565485,-0.019287,0.019003,-0.003971,568,-0.001986,0.5797,0.5797,0.7973
74,110,6.0000,1,6,0,21,0.068373,-0.232537,9.504817,-0.020316,0.007957,-0.009007,568,-0.004503,0.5744,0.5744,0.8000
75,150,4.0000,1,13,0,35,0.120358,-0.144258,9.809184,-0.014234,-0.000132,-0.008593,573,-0.004297,0.5673,0.5673,0.8026
76,200,-11.9000,0,20,1,32,0.095089,-0.155616,10.019531,-0.014219,-0.012108,-0.013374,599,-0.006687,0.5578,0.5578,0.7922
77,115,5.7000,1,16,0,33,0.064800,-0.188756,10.068634,-0.017446,0.023496,-0.001069,599,-0.000534,0.5524,0.5524,0.7949
78,86,7.3600,1,6,0,23,0.075736,-0.245370,10.065510,-0.021564,-0.000161,-0.013003,599,-0.006502,0.5483,0.5183,0.7975
79,42,9.9200,1,10,0,41,0.063033,-0.262480,10.115474,-0.022298,0.019491,-0.005583,599,-0.002791,0.5463,0.5463,0.8000
80,199,0.5400,1,8,0,48,0.054931,-0.227603,10.164517,-0.021610,0.034395,0.000792,599,0.000396,0.5368,0.5075,0.8025
81,200,-10.5000,0,9,0,19,0.054281,-0.263730,10.117819,-0.024822,0.026063,-0.004468,599,-0.002234,0.5273,0.5273,0.7927
82,136,2.5600,1,19,0,34,0.116902,-0.324748,10.405841,-0.027710,0.030000,-0.004626,599,-0.002313,0.5209,0.5209,0.7952
83,139,4.7400,1,8,0,20,0.108157,-0.244118,10.463139,-0.025097,0.029592,-0.003221,599,-0.001611,0.5143,0.5143,0.7976
84,26,11.3600,1,6,0,12,0.057292,-0.207731,10.470108,-0.013408,0.011543,-0.003428,599,-0.001714,0.5130,0.5130,0.8000
85,75,8.7000,1,4,0,41,0.072681,-0.255131,10.504214,-0.022328,0.015459,-0.007214,599,-0.003607,0.5095,0.5095,0.8023
86,138,4.6800,1,7,0,21,0.064187,-0.242604,10.480908,-0.021564,0.019666,-0.005072,599,-0.002536,0.5029,0.5029,0.8046
