episode,steps,total_reward,success,key_found_step,door_attempts_without_key,door_opened_step,mean_loss,mean_td_error,mean_q_value,mean_mood_value,mean_mood_action,mean_overall_mood,exploration_boosts,mean_mood_bias,epsilon,effective_epsilon,success_rate_100
0,90,6.6000,1,23,0,85,0.073633,0.005159,-0.005810,0.000000,0.000000,0.000000,0,0.000000,0.9957,0.9957,1.0000
1,61,9.0600,1,30,0,60,0.872085,0.015089,0.082614,0.000000,0.000000,0.000000,0,0.000000,0.9928,0.9928,1.0000
2,97,6.4200,1,61,1,81,1.070660,0.009935,0.112180,0.000000,0.000000,0.000000,0,0.000000,0.9882,0.9882,1.0000
3,170,0.4000,1,5,0,113,0.597255,0.014731,0.097544,0.000000,0.000000,0.000000,0,0.000000,0.9801,0.9801,1.0000
4,85,7.5000,1,64,1,84,0.266711,0.006553,0.044243,0.000000,0.000000,0.000000,0,0.000000,0.9761,0.9761,1.0000
5,200,-10.1000,0,30,0,157,0.112464,-0.001753,0.110067,0.000000,0.000000,0.000000,0,0.000000,0.9666,0.9666,0.8333
6,200,-14.5000,0,158,4,-1,0.036139,0.001029,0.045285,0.000000,0.000000,0.000000,0,0.000000,0.9571,0.9571,0.7143
7,200,-10.1000,0,51,0,180,0.540608,0.016517,0.099124,0.000000,0.000000,0.000000,0,0.000000,0.9476,0.9476,0.6250
8,200,-12.4000,0,144,1,-1,0.936351,0.024797,0.174991,0.000000,0.000000,0.000000,0,0.000000,0.9381,0.9381,0.5556
9,60,9.4000,1,19,0,57,0.754115,0.001703,0.183179,0.000000,0.000000,0.000000,0,0.000000,0.9353,0.9353,0.6000
10,159,2.3400,1,35,0,101,0.636868,0.001443,0.186816,0.000000,0.000000,0.000000,0,0.000000,0.9277,0.9277,0.6364
11,120,4.2000,1,59,1,104,0.461805,0.010246,0.150707,0.000000,0.000000,0.000000,0,0.000000,0.9220,0.9220,0.6667
12,90,6.4000,1,23,1,42,0.510386,-0.013528,0.235468,0.000000,0.000000,0.000000,0,0.000000,0.9177,0.9177,0.6923
13,112,5.7200,1,10,0,100,0.396514,-0.012201,0.227472,0.000000,0.000000,0.000000,0,0.000000,0.9124,0.9124,0.7143
14,148,4.0800,1,12,0,112,0.503078,-0.017379,0.262768,0.000000,0.000000,0.000000,0,0.000000,0.9054,0.9054,0.7333
15,89,7.1400,1,45,0,84,1.577412,0.021751,0.508627,0.000000,0.000000,0.000000,0,0.000000,0.9012,0.9012,0.7500
16,87,7.4200,1,14,0,84,1.517573,0.037518,0.689699,0.000000,0.000000,0.000000,0,0.000000,0.8970,0.8970,0.7647
17,89,7.5400,1,29,0,86,1.012397,0.020992,0.778262,0.000000,0.000000,0.000000,0,0.000000,0.8928,0.8928,0.7778
18,60,9.0000,1,34,0,58,0.265499,-0.011077,0.713533,0.000000,0.000000,0.000000,0,0.000000,0.8899,0.8899,0.7895
19,36,10.9600,1,6,0,22,0.170149,-0.002443,0.776726,0.000000,0.000000,0.000000,0,0.000000,0.8882,0.8882,0.8000
20,33,10.9800,1,14,0,32,0.054743,-0.004975,0.834995,0.000000,0.000000,0.000000,0,0.000000,0.8867,0.8867,0.8095
21,106,5.7600,1,48,0,64,0.044495,-0.000002,0.893995,0.000000,0.000000,0.000000,0,0.000000,0.8816,0.8816,0.8182
22,200,-14.4000,0,107,4,-1,0.097789,-0.002614,0.827245,0.000000,0.000000,0.000000,0,0.000000,0.8721,0.8721,0.7826
23,100,4.6000,1,86,5,96,0.041226,0.001486,0.860668,0.000000,0.000000,0.000000,0,0.000000,0.8674,0.8674,0.7917
24,131,4.4600,1,55,1,127,0.049519,0.000404,0.857005,0.000000,0.000000,0.000000,0,0.000000,0.8612,0.8612,0.8000
25,200,-9.4000,0,66,0,154,2.839436,0.024541,1.663012,0.000000,0.000000,0.000000,0,0.000000,0.8517,0.8517,0.7692
26,154,-2.5600,1,144,11,152,1.821515,-0.006327,2.732884,0.000000,0.000000,0.000000,0,0.000000,0.8443,0.8443,0.7778
27,100,6.0000,1,25,0,48,0.360375,0.010519,2.677166,0.000000,0.000000,0.000000,0,0.000000,0.8396,0.8396,0.7857
28,50,9.8000,1,26,1,49,0.295701,-0.014232,2.477381,0.000000,0.000000,0.000000,0,0.000000,0.8372,0.8372,0.7931
29,20,11.6000,1,7,0,19,0.089596,-0.008099,2.641203,0.000000,0.000000,0.000000,0,0.000000,0.8363,0.8363,0.8000
30,147,1.8200,1,89,4,137,0.109661,0.000199,2.854111,0.000000,0.000000,0.000000,0,0.000000,0.8293,0.8293,0.8065
31,129,2.7400,1,58,6,126,0.070931,-0.000935,2.782300,0.000000,0.000000,0.000000,0,0.000000,0.8232,0.8232,0.8125
32,86,6.3600,1,48,3,62,0.123251,-0.001135,2.791856,0.000000,0.000000,0.000000,0,0.000000,0.8191,0.8191,0.8182
33,27,11.8200,1,6,0,26,0.047949,-0.000400,2.663601,0.000000,0.000000,0.000000,0,0.000000,0.8178,0.8178,0.8235
34,66,7.5600,1,42,5,65,0.101957,-0.002842,2.817916,0.000000,0.000000,0.000000,0,0.000000,0.8147,0.8147,0.8286
35,194,-2.3600,1,122,8,191,3.154874,0.090781,3.715886,0.000000,0.000000,0.000000,0,0.000000,0.8054,0.8054,0.8333
36,177,2.6200,1,51,0,59,3.631011,-0.024339,5.608452,0.000000,0.000000,0.000000,0,0.000000,0.7970,0.7970,0.8378
37,138,3.4800,1,128,3,137,0.714226,0.007964,5.629138,0.000000,0.000000,0.000000,0,0.000000,0.7905,0.7905,0.8421
38,83,7.7800,1,63,2,82,0.219554,0.001131,5.623933,0.000000,0.000000,0.000000,0,0.000000,0.7865,0.7865,0.8462
39,68,8.4800,1,39,0,66,0.194821,0.005743,5.599412,0.000000,0.000000,0.000000,0,0.000000,0.7833,0.7833,0.8500
40,74,8.2400,1,27,0,73,0.153974,0.002486,5.675296,0.000000,0.000000,0.000000,0,0.000000,0.7798,0.7798,0.8537
41,105,4.7000,1,83,4,104,0.109450,-0.004223,5.695894,0.000000,0.000000,0.000000,0,0.000000,0.7748,0.7748,0.8571
42,129,5.5400,1,65,0,127,0.132878,-0.008986,5.783523,0.000000,0.000000,0.000000,0,0.000000,0.7687,0.7687,0.8605
43,200,-15.9000,0,-1,6,-1,1.531848,0.082886,6.151631,0.000000,0.000000,0.000000,0,0.000000,0.7592,0.7592,0.8409
44,200,-15.3000,0,147,5,-1,2.245662,-0.013582,7.948661,0.000000,0.000000,0.000000,0,0.000000,0.7497,0.7497,0.8222
45,55,9.3000,1,25,0,54,1.376759,-0.022901,7.977082,0.000000,0.000000,0.000000,0,0.000000,0.7471,0.7471,0.8261
46,63,7.7800,1,48,1,62,0.933746,-0.003297,7.885051,0.000000,0.000000,0.000000,0,0.000000,0.7441,0.7441,0.8298
47,61,8.6600,1,34,2,47,0.642278,-0.003137,7.822902,0.000000,0.000000,0.000000,0,0.000000,0.7412,0.7412,0.8333
48,35,9.9000,1,19,2,27,0.504378,0.006927,7.951618,0.000000,0.000000,0.000000,0,0.000000,0.7395,0.7395,0.8367
49,145,-0.3000,1,120,8,143,0.288836,-0.011503,7.883126,0.000000,0.000000,0.000000,0,0.000000,0.7326,0.7326,0.8400
50,164,-9.7600,1,140,28,163,0.208742,-0.011197,7.907701,0.000000,0.000000,0.000000,0,0.000000,0.7248,0.7248,0.8431
51,121,2.8600,1,81,7,116,0.243262,-0.008143,7.808586,0.000000,0.000000,0.000000,0,0.000000,0.7191,0.7191,0.8462
52,200,-11.9000,0,90,2,-1,0.803845,0.032101,8.458129,0.000000,0.000000,0.000000,0,0.000000,0.7096,0.7096,0.8302
53,196,0.1600,1,36,0,69,0.260006,0.001908,9.242472,0.000000,0.000000,0.000000,0,0.000000,0.7003,0.7003,0.8333
