episode,steps,total_reward,success,key_found_step,door_attempts_without_key,door_opened_step,shield_pickup_step,trap_hit_step,path_type,wall_bumps,mean_loss,mean_td_error,mean_q_value,mean_mood_value,mean_mood_action,mean_overall_mood,exploration_boosts,mean_mood_bias,epsilon,effective_epsilon,success_rate_100
35,28,-42.8000,1,-1,0,-1,-1,16,trap_rush,0,4.384365,-0.081329,-0.426534,0.000000,0.000000,0.055561,0,0.000000,0.9556,0.0000,0.6389
36,100,-8.0000,0,-1,0,-1,12,-1,timeout,0,3.487701,0.034765,-0.394519,0.000000,0.000000,0.113891,0,0.000000,0.9543,0.0000,0.6216
37,30,-13.0000,1,-1,0,-1,-1,26,trap_rush,0,3.295696,-0.078401,-0.350119,0.000000,0.000000,0.049259,0,0.000000,0.9531,0.0000,0.6316
38,100,-28.0000,0,-1,0,-1,24,6,timeout,0,4.316032,-0.042422,-0.432307,0.000000,0.000000,0.070001,0,0.000000,0.9518,0.0000,0.6154
39,20,-2.0000,1,-1,0,-1,-1,18,trap_rush,0,3.458787,0.009833,-0.374931,0.000000,0.000000,0.143758,0,0.000000,0.9505,0.0000,0.6250
40,10,-11.0000,1,-1,0,-1,-1,6,trap_rush,0,3.286021,0.114471,-0.395143,0.000000,0.000000,0.138815,0,0.000000,0.9493,0.0000,0.6341
41,100,-29.0000,0,-1,0,-1,4,82,timeout,0,3.432471,0.010549,-0.373434,0.000000,0.000000,0.071712,0,0.000000,0.9480,0.0000,0.6190
42,22,-32.2000,1,-1,0,-1,-1,14,trap_rush,0,3.964667,-0.042823,-0.335035,0.000000,0.000000,0.115981,0,0.000000,0.9467,0.0000,0.6279
43,100,-109.0000,0,-1,0,-1,8,22,timeout,0,3.895200,-0.047837,-0.377569,0.000000,0.000000,0.032996,0,0.000000,0.9455,0.0000,0.6136
44,16,-1.6000,1,-1,0,-1,-1,14,trap_rush,0,4.618015,0.071302,-0.424842,0.000000,0.000000,0.135342,0,0.000000,0.9442,0.0000,0.6222
45,18,-11.8000,1,-1,0,-1,-1,14,trap_rush,0,3.724699,0.170404,-0.410502,0.000000,0.000000,0.204214,0,0.000000,0.9429,0.0000,0.6304
46,30,-13.0000,1,-1,0,-1,-1,26,trap_rush,0,4.242772,-0.022193,-0.343008,0.000000,0.000000,0.034129,0,0.000000,0.9417,0.0000,0.6383
47,100,-8.0000,0,-1,0,-1,6,-1,timeout,0,4.319617,-0.006564,-0.344851,0.000000,0.000000,0.039610,0,0.000000,0.9404,0.0000,0.6250
48,14,-1.4000,1,-1,0,-1,-1,12,trap_rush,0,3.876251,-0.013186,-0.325126,0.000000,0.000000,-0.001910,0,0.000000,0.9391,0.0000,0.6327
49,100,-18.0000,0,-1,0,-1,48,28,timeout,0,4.484906,-0.060181,-0.387883,0.000000,0.000000,0.082636,0,0.000000,0.9379,0.0000,0.6200
50,100,-8.0000,0,-1,0,-1,10,-1,timeout,0,4.367697,0.031176,-0.436850,0.000000,0.000000,0.121329,0,0.000000,0.9366,0.0000,0.6078
51,16,-11.6000,1,-1,0,-1,-1,12,trap_rush,0,4.783308,-0.191536,-0.331166,0.000000,0.000000,0.052971,0,0.000000,0.9353,0.0000,0.6154
52,44,6.6000,1,-1,0,-1,6,42,shield_route,0,4.571707,-0.068502,-0.456692,0.000000,0.000000,0.006173,0,0.000000,0.9340,0.0000,0.6226
53,100,-9.0000,0,-1,0,-1,30,58,timeout,0,4.264634,0.041127,-0.401471,0.000000,0.000000,0.079083,0,0.000000,0.9328,0.0000,0.6111
54,100,-8.0000,0,-1,0,-1,60,-1,timeout,0,4.187762,-0.028658,-0.356402,0.000000,0.000000,0.104326,0,0.000000,0.9315,0.0000,0.6000
55,16,-11.6000,1,-1,0,-1,-1,10,trap_rush,0,3.058776,0.008772,-0.349862,0.000000,0.000000,0.005924,0,0.000000,0.9302,0.0000,0.6071
56,58,-24.8000,1,-1,0,-1,8,48,shield_route,0,3.473709,-0.003568,-0.358181,0.000000,0.000000,0.015385,0,0.000000,0.9290,0.0000,0.6140
57,100,-8.0000,0,-1,0,-1,4,-1,timeout,0,3.493191,-0.049325,-0.351364,0.000000,0.000000,0.023281,0,0.000000,0.9277,0.0000,0.6034
58,100,-9.0000,0,-1,0,-1,26,52,timeout,0,4.193362,-0.012644,-0.431782,0.000000,0.000000,0.089387,0,0.000000,0.9264,0.0000,0.5932
59,6,-0.6000,1,-1,0,-1,-1,4,trap_rush,0,5.986983,0.173160,-0.454910,0.000000,0.000000,0.052181,0,0.000000,0.9252,0.0000,0.6000
60,100,-8.0000,0,-1,0,-1,30,-1,timeout,0,3.431260,0.001922,-0.366043,0.000000,0.000000,0.092554,0,0.000000,0.9239,0.0000,0.5902
61,100,-19.0000,0,-1,0,-1,4,42,timeout,0,3.750721,0.034831,-0.390816,0.000000,0.000000,0.079334,0,0.000000,0.9226,0.0000,0.5806
62,100,-79.0000,0,-1,0,-1,30,14,timeout,0,3.103088,-0.024306,-0.308573,0.000000,0.000000,-0.028265,0,0.000000,0.9214,0.0000,0.5714
63,100,-59.0000,0,-1,0,-1,10,38,timeout,0,3.545341,-0.028931,-0.362881,0.000000,0.000000,-0.024684,0,0.000000,0.9201,0.0000,0.5625
64,100,-8.0000,0,-1,0,-1,14,-1,timeout,0,3.615377,-0.008498,-0.391572,0.000000,0.000000,0.116400,0,0.000000,0.9188,0.0000,0.5538
65,92,-8.2000,1,-1,0,-1,6,88,shield_route,0,3.079907,0.002213,-0.377239,0.000000,0.000000,0.045890,0,0.000000,0.9176,0.0000,0.5606
66,100,-9.0000,0,-1,0,-1,8,48,timeout,0,3.721085,-0.035161,-0.387036,0.000000,0.000000,0.103474,0,0.000000,0.9163,0.0000,0.5522
67,100,-8.0000,0,-1,0,-1,28,-1,timeout,0,3.355906,0.020199,-0.377650,0.000000,0.000000,0.062501,0,0.000000,0.9150,0.0000,0.5441
68,100,-69.0000,0,-1,0,-1,16,76,timeout,0,3.606002,-0.047239,-0.344037,0.000000,0.000000,0.014930,0,0.000000,0.9138,0.0000,0.5362
69,6,-0.6000,1,-1,0,-1,-1,4,trap_rush,0,2.469367,0.006703,-0.341022,0.000000,0.000000,0.073414,0,0.000000,0.9125,0.0000,0.5429
70,44,-64.4000,1,-1,0,-1,-1,18,trap_rush,0,3.220634,0.019530,-0.361382,0.000000,0.000000,0.095295,0,0.000000,0.9112,0.0000,0.5493
71,28,-92.8000,1,-1,0,-1,-1,4,trap_rush,0,3.104642,0.088994,-0.350364,0.000000,0.000000,0.193012,0,0.000000,0.9099,0.0000,0.5556
72,100,-8.0000,0,-1,0,-1,22,-1,timeout,0,3.261988,-0.052089,-0.373278,0.000000,0.000000,0.050526,0,0.000000,0.9087,0.0000,0.5479
73,54,-34.4000,1,-1,0,-1,26,4,other,0,3.398397,-0.010274,-0.362654,0.000000,0.000000,0.035057,0,0.000000,0.9074,0.0000,0.5541
74,100,-9.0000,0,-1,0,-1,12,58,timeout,0,3.323641,-0.034504,-0.348631,0.000000,0.000000,0.051765,0,0.000000,0.9061,0.0000,0.5467
75,50,-24.0000,1,-1,0,-1,10,26,shield_route,0,3.646630,-0.018973,-0.429356,0.000000,0.000000,0.089098,0,0.000000,0.9049,0.0000,0.5526
76,100,-68.0000,0,-1,0,-1,44,12,timeout,0,3.239457,-0.031369,-0.401898,0.000000,0.000000,0.033620,0,0.000000,0.9036,0.0000,0.5455
77,22,8.8000,1,-1,0,-1,10,20,shield_route,0,4.316247,-0.051050,-0.474491,0.000000,0.000000,0.086868,0,0.000000,0.9023,0.0000,0.5513
78,100,-19.0000,0,-1,0,-1,4,34,timeout,0,3.134553,0.013547,-0.465423,0.000000,0.000000,0.070276,0,0.000000,0.9011,0.0000,0.5443
79,100,-9.0000,0,-1,0,-1,6,44,timeout,0,3.149374,0.024563,-0.403697,0.000000,0.000000,0.090502,0,0.000000,0.8998,0.0000,0.5375
80,100,-18.0000,0,-1,0,-1,68,44,timeout,0,3.571231,-0.022587,-0.414420,0.000000,0.000000,0.049064,0,0.000000,0.8985,0.0000,0.5309
81,100,-8.0000,0,-1,0,-1,8,-1,timeout,0,3.435711,-0.030171,-0.408419,0.000000,0.000000,0.017410,0,0.000000,0.8973,0.0000,0.5244
