episode,steps,total_reward,success,key_found_step,door_attempts_without_key,door_opened_step,mean_loss,mean_td_error,mean_q_value,mean_mood_value,mean_mood_action,mean_overall_mood,exploration_boosts,mean_mood_bias,epsilon,effective_epsilon,success_rate_100
0,23,-36.8000,1,-1,0,-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,1.0000,0.0000,1.0000
1,25,-19.0000,1,-1,0,-1,11.789091,-1.092540,-0.005567,0.000000,0.000000,0.000000,0,0.000000,0.9981,0.0000,1.0000
2,44,-26.4000,1,-1,0,-1,9.754483,-0.695713,-0.207457,0.000000,0.000000,0.000000,0,0.000000,0.9962,0.0000,1.0000
3,25,-17.0000,1,-1,0,-1,8.587642,-0.223742,-0.683937,0.000000,0.000000,0.000000,0,0.000000,0.9943,0.0000,1.0000
4,18,-5.8000,1,-1,0,-1,7.583058,0.211803,-0.874758,0.000000,0.000000,0.000000,0,0.000000,0.9924,0.0000,1.0000
5,72,-64.2000,1,-1,0,-1,7.979509,-0.038364,-0.662786,0.000000,0.000000,0.000000,0,0.000000,0.9905,0.0000,1.0000
6,100,-33.0000,0,-1,0,-1,6.924277,0.041338,-0.678531,0.000000,0.000000,0.000000,0,0.000000,0.9886,0.0000,0.8571
7,100,-35.0000,0,-1,0,-1,4.583777,0.022820,-0.554495,0.000000,0.000000,0.000000,0,0.000000,0.9867,0.0000,0.7500
8,100,-41.5000,0,-1,0,-1,3.845073,0.006651,-0.502217,0.000000,0.000000,0.000000,0,0.000000,0.9848,0.0000,0.6667
9,100,-37.0000,0,-1,0,-1,2.605706,-0.021663,-0.461093,0.000000,0.000000,0.000000,0,0.000000,0.9829,0.0000,0.6000
10,100,-50.5000,0,-1,0,-1,2.595495,0.024323,-0.499318,0.000000,0.000000,0.000000,0,0.000000,0.9810,0.0000,0.5455
11,100,-29.0000,0,-1,0,-1,2.972519,-0.034096,-0.470221,0.000000,0.000000,0.000000,0,0.000000,0.9791,0.0000,0.5000
12,54,-19.4000,1,-1,0,-1,2.336236,0.032186,-0.478647,0.000000,0.000000,0.000000,0,0.000000,0.9772,0.0000,0.5385
13,100,-33.5000,0,-1,0,-1,2.671425,-0.015942,-0.444781,0.000000,0.000000,0.000000,0,0.000000,0.9753,0.0000,0.5000
14,100,-55.5000,0,-1,0,-1,1.866647,-0.057061,-0.416199,0.000000,0.000000,0.000000,0,0.000000,0.9733,0.0000,0.4667
15,47,-14.2000,1,-1,0,-1,2.640875,0.008365,-0.679560,0.000000,0.000000,0.000000,0,0.000000,0.9714,0.0000,0.5000
16,60,-36.0000,1,-1,0,-1,2.373507,0.022367,-0.641046,0.000000,0.000000,0.000000,0,0.000000,0.9695,0.0000,0.5294
17,41,-14.6000,1,-1,0,-1,2.123546,-0.056887,-0.653143,0.000000,0.000000,0.000000,0,0.000000,0.9676,0.0000,0.5556
18,24,-10.4000,1,-1,0,-1,1.699362,0.054358,-0.697928,0.000000,0.000000,0.000000,0,0.000000,0.9657,0.0000,0.5789
19,100,-38.5000,0,-1,0,-1,1.937686,0.002574,-0.602864,0.000000,0.000000,0.000000,0,0.000000,0.9638,0.0000,0.5500
20,100,-38.0000,0,-1,0,-1,2.425914,-0.019543,-0.612139,0.000000,0.000000,0.000000,0,0.000000,0.9619,0.0000,0.5238
21,16,-5.6000,1,-1,0,-1,2.391363,0.016294,-0.673035,0.000000,0.000000,0.000000,0,0.000000,0.9600,0.0000,0.5455
22,94,-45.4000,1,-1,0,-1,2.152706,-0.004466,-0.669796,0.000000,0.000000,0.000000,0,0.000000,0.9581,0.0000,0.5652
23,100,-36.0000,0,-1,0,-1,1.845919,-0.008838,-0.636323,0.000000,0.000000,0.000000,0,0.000000,0.9562,0.0000,0.5417
