episode,steps,total_reward,success,key_found_step,door_attempts_without_key,door_opened_step,mean_loss,mean_td_error,mean_q_value,mean_mood_value,mean_mood_action,mean_overall_mood,exploration_boosts,mean_mood_bias,epsilon,effective_epsilon,success_rate_100
0,189,0.3400,1,23,0,187,0.008361,0.012163,-0.011462,0.000884,0.000444,0.000708,0,0.000354,0.9910,0.9910,1.0000
1,76,7.5600,1,32,0,75,0.164801,0.211062,0.133843,0.016698,0.051454,0.030601,0,0.015300,0.9874,0.9574,1.0000
2,177,1.8200,1,105,0,176,0.015921,0.013300,0.190419,0.002212,0.110698,0.045607,0,0.022803,0.9790,0.9490,1.0000
3,200,-10.8000,0,31,1,48,0.069931,0.081376,0.331667,0.006049,0.178712,0.075114,0,0.037557,0.9695,0.9395,0.7500
4,200,-13.2000,0,96,1,-1,0.032460,0.107837,0.377859,0.011460,0.223815,0.096402,0,0.048201,0.9600,0.9300,0.6000
5,46,9.3600,1,29,2,45,0.009029,-0.022255,0.302983,-0.000442,0.176914,0.070500,0,0.035250,0.9578,0.9278,0.6667
6,82,7.3200,1,26,0,74,0.006952,-0.004300,0.292250,-0.000814,0.163138,0.064767,0,0.032383,0.9539,0.9239,0.7143
7,117,6.4200,1,21,0,113,0.077634,0.420622,0.410273,0.030738,0.170449,0.086622,0,0.043311,0.9484,0.9184,0.7500
8,159,2.1400,1,47,0,120,0.179298,0.245809,1.341181,0.029387,0.348877,0.157183,0,0.078591,0.9408,0.9108,0.7778
9,119,3.1400,1,47,2,103,0.121601,-0.049229,1.621229,-0.004956,0.453374,0.178376,0,0.089188,0.9352,0.9052,0.8000
10,86,7.1600,1,34,2,85,0.117959,-0.067899,1.609128,-0.005774,0.516829,0.203267,0,0.101634,0.9311,0.9011,0.8182
11,80,7.8000,1,73,0,79,0.100101,-0.116626,1.362236,-0.009548,0.530649,0.206531,0,0.103266,0.9273,0.8973,0.8333
12,126,3.9600,1,15,0,125,0.095035,-0.108044,1.315945,-0.009906,0.585496,0.228255,0,0.114127,0.9213,0.8913,0.8462
13,119,6.3400,1,63,0,98,0.090403,-0.191845,1.201206,-0.016375,0.567898,0.217335,0,0.108667,0.9156,0.8856,0.8571
14,200,-10.9000,0,115,4,152,0.094670,-0.088612,0.998413,-0.009219,0.478095,0.185706,0,0.092853,0.9061,0.8761,0.8000
15,200,-12.6000,0,39,3,172,0.304754,0.289821,1.492496,0.024786,0.419467,0.182658,0,0.091329,0.8966,0.8666,0.7500
16,49,9.7400,1,5,0,45,0.174577,0.211281,1.843399,0.022077,0.436395,0.187804,0,0.093902,0.8943,0.8643,0.7647
17,52,9.7200,1,23,0,34,0.134402,0.068903,1.898031,0.009826,0.404653,0.167757,0,0.083878,0.8918,0.8618,0.7778
18,58,6.6800,1,47,6,57,0.090216,-0.006048,2.086490,0.001298,0.496438,0.199354,0,0.099677,0.8891,0.8591,0.7895
19,170,1.2000,1,23,0,165,0.048596,-0.084684,2.112276,-0.007437,0.655903,0.257899,0,0.128950,0.8810,0.8510,0.8000
20,45,9.1000,1,33,3,44,0.037273,-0.157305,2.068547,-0.012257,0.599291,0.232362,0,0.116181,0.8789,0.8489,0.8095
21,119,4.9400,1,83,1,116,0.029480,-0.128182,2.001731,-0.011670,0.641206,0.249480,0,0.124740,0.8732,0.8432,0.8182
22,68,5.0800,1,20,7,67,0.023745,-0.087945,1.920975,-0.008158,0.587302,0.230026,0,0.115013,0.8700,0.8400,0.8261
23,59,9.1400,1,14,0,43,0.018051,-0.106825,1.898767,-0.008053,0.540989,0.211564,0,0.105782,0.8672,0.8372,0.8333
24,136,3.7600,1,36,0,134,0.013486,-0.123988,1.886923,-0.011390,0.590477,0.229356,0,0.114678,0.8607,0.8307,0.8400
25,56,9.5600,1,39,0,55,0.013029,-0.100387,1.716335,-0.008871,0.502557,0.195701,0,0.097850,0.8581,0.8281,0.8462
26,28,11.0800,1,13,0,25,0.013836,-0.082450,1.720557,-0.006959,0.455279,0.177936,0,0.088968,0.8567,0.8267,0.8519
27,147,2.0200,1,123,3,136,0.613086,0.147011,2.936750,0.011144,0.487707,0.201769,0,0.100885,0.8498,0.8198,0.8571
28,102,6.5200,1,78,2,100,0.215744,0.039750,3.243160,0.004887,0.627472,0.253921,0,0.126961,0.8449,0.8149,0.8621
29,80,7.6000,1,58,2,77,0.108666,-0.108007,3.302882,-0.006545,0.699414,0.275839,0,0.137920,0.8411,0.8111,0.8667
30,179,2.1400,1,71,1,83,0.060639,-0.135391,3.235370,-0.012501,0.659658,0.256363,0,0.128181,0.8326,0.8026,0.8710
31,156,2.1600,1,91,4,117,0.028912,-0.151007,3.365646,-0.014104,0.625251,0.241638,0,0.120819,0.8252,0.7952,0.8750
32,107,6.0200,1,37,0,103,0.026743,-0.161023,3.460697,-0.014811,0.666038,0.257529,0,0.128764,0.8201,0.7901,0.8788
33,64,8.4400,1,42,0,47,0.022887,-0.120065,3.447824,-0.010555,0.571644,0.222325,0,0.111162,0.8171,0.7871,0.8824
34,108,5.4800,1,53,0,104,0.022201,-0.164376,3.474346,-0.014574,0.670737,0.259551,0,0.129775,0.8119,0.7819,0.8857
35,76,7.3600,1,62,2,74,0.142874,-0.015720,3.341210,-0.009415,0.497285,0.193265,0,0.096632,0.8083,0.7783,0.8889
36,45,9.9000,1,35,1,42,1.230294,0.018214,5.386680,0.005263,0.310907,0.127520,0,0.063760,0.8062,0.7762,0.8919
37,110,5.6000,1,92,0,108,0.592322,0.048870,4.992960,0.006710,0.178316,0.075353,0,0.037676,0.8010,0.7710,0.8947
38,136,3.9600,1,53,3,135,0.281536,0.085494,4.808689,0.006996,0.105192,0.046274,0,0.023137,0.7945,0.7645,0.8974
39,130,5.4000,1,24,0,64,0.150640,-0.039666,4.829765,-0.002823,0.169371,0.066055,0,0.033027,0.7883,0.7583,0.9000
40,107,6.6200,1,65,0,72,0.083748,-0.091836,5.007635,-0.007562,0.205122,0.077511,0,0.038756,0.7833,0.7533,0.9024
